CustomerID,PurchaseDate,AmountSpent
1374,2020-01-01 18:29:13.322677,96.82
432,2020-01-02 07:27:44.054256,160.66
1005,2020-01-02 08:30:03.410522,35.9
2273,2020-01-02 13:43:45.174809,481.76
2528,2020-01-02 15:35:42.779570,47.74
1777,2020-01-02 19:31:31.362232,73.5
2391,2020-01-03 02:04:17.512988,444.99
699,2020-01-03 04:15:17.331373,116.03
2689,2020-01-03 07:14:01.510535,81.08
1153,2020-01-03 11:56:11.746810,97.29
1384,2020-01-04 00:05:25.838869,148.83
142,2020-01-04 05:12:51.187607,56.85
1923,2020-01-04 12:50:49.037291,40.27
402,2020-01-04 17:35:42.465493,29.8
2446,2020-01-04 21:17:09.199709,119.11
1845,2020-01-04 22:53:14.202170,521.12
1728,2020-01-05 03:27:29.830357,63.53
120,2020-01-05 04:31:43.621080,40.99
2168,2020-01-05 05:11:09.860987,117.21
1108,2020-01-05 06:04:34.762743,91.58
319,2020-01-05 12:09:55.164715,70.23
2855,2020-01-05 12:43:51.678731,108.63
2286,2020-01-05 13:14:02.714767,50.67
1693,2020-01-05 15:30:41.953546,89.76
2033,2020-01-05 18:45:17.059475,141.21
1467,2020-01-05 22:55:07.604006,98.28
717,2020-01-06 04:23:42.386277,254.97
145,2020-01-06 11:10:45.717422,62.57
538,2020-01-06 12:32:49.059521,31.51
56,2020-01-06 12:56:46.751478,79.96
1089,2020-01-06 13:34:00.147154,39.27
966,2020-01-06 14:18:22.152918,124.92
161,2020-01-06 15:43:22.125792,124.79
2003,2020-01-06 17:41:48.603874,95.35
2388,2020-01-06 19:41:44.246573,50.29
12,2020-01-06 21:00:10.127964,46.03
1862,2020-01-06 21:39:04.888561,49.53
2385,2020-01-07 04:13:27.522835,62.52
1008,2020-01-07 04:36:40.694839,257.4
991,2020-01-07 08:25:51.929526,68.97
2866,2020-01-07 11:01:56.246673,68.56
140,2020-01-07 13:33:05.130079,81.36
707,2020-01-07 15:21:11.645355,35.9
207,2020-01-07 18:23:03.931417,346.22
886,2020-01-08 00:34:20.986641,156.79
2924,2020-01-08 01:36:52.692382,52.59
2969,2020-01-08 09:58:05.728901,107.29
2899,2020-01-08 11:45:33.832180,54.81
1596,2020-01-08 13:45:18.031169,215.11
2983,2020-01-08 16:55:53.039776,221.42
2798,2020-01-09 00:13:33.188593,405.18
2643,2020-01-09 04:23:04.163987,61.05
854,2020-01-09 08:14:37.734614,60.56
1082,2020-01-09 11:25:17.927973,322.0
400,2020-01-09 11:25:18.932208,139.58
240,2020-01-09 13:21:41.536133,71.21
2123,2020-01-09 14:19:56.422317,107.57
2258,2020-01-09 17:07:55.991144,166.82
2730,2020-01-09 17:09:59.567424,159.35
174,2020-01-10 01:22:41.816686,79.01
121,2020-01-10 01:35:18.067652,55.28
751,2020-01-10 02:01:56.917126,208.36
835,2020-01-10 06:17:24.634606,446.77
967,2020-01-10 07:07:40.910620,63.22
1512,2020-01-10 08:36:46.620488,83.52
1357,2020-01-10 15:21:24.244258,123.2
1298,2020-01-10 18:12:20.468867,432.99
1985,2020-01-10 19:59:54.729512,117.79
2695,2020-01-10 23:33:20.263712,88.1
416,2020-01-11 00:06:24.932095,137.3
2034,2020-01-11 00:35:52.425397,52.38
1018,2020-01-11 00:36:51.366456,77.74
640,2020-01-11 00:54:51.109543,60.83
532,2020-01-11 03:45:25.927390,56.58
2941,2020-01-11 04:31:30.416440,55.49
351,2020-01-11 05:17:36.092668,72.96
261,2020-01-11 07:27:41.911766,447.53
873,2020-01-11 10:23:17.275255,76.11
2066,2020-01-11 10:55:54.520612,22.59
1368,2020-01-11 11:52:04.804960,99.73
1696,2020-01-11 12:23:51.953659,242.81
1442,2020-01-11 15:22:40.144268,36.13
1741,2020-01-11 20:06:46.525991,443.37
2206,2020-01-11 22:11:34.344241,82.79
966,2020-01-12 03:24:17.245735,95.46
670,2020-01-12 04:11:28.778393,82.75
2386,2020-01-12 04:45:48.632172,53.32
2790,2020-01-12 12:35:47.028195,77.07
893,2020-01-12 13:07:55.648676,422.95
2824,2020-01-12 13:26:03.075966,152.77
738,2020-01-12 17:22:20.300729,198.64
1401,2020-01-12 18:40:04.489279,362.26
1758,2020-01-12 19:20:18.380270,108.17
269,2020-01-12 19:47:13.233437,27.42
2322,2020-01-12 20:18:01.500902,71.37
2263,2020-01-12 22:00:01.810075,243.96
2679,2020-01-12 23:33:39.748648,68.29
1706,2020-01-13 10:41:12.091717,215.24
2240,2020-01-13 11:14:17.070164,155.0
299,2020-01-13 18:42:16.137064,45.36
1955,2020-01-13 20:58:08.252583,130.19
1916,2020-01-13 21:16:37.420908,36.53
1275,2020-01-13 22:11:02.821320,24.83
60,2020-01-13 22:28:30.600227,92.71
490,2020-01-13 23:05:14.583187,23.67
2121,2020-01-14 00:05:49.494564,134.13
2972,2020-01-14 00:37:43.558252,101.16
2047,2020-01-14 05:05:54.011143,72.46
495,2020-01-14 06:06:38.162847,82.16
2772,2020-01-14 07:49:56.209098,83.7
2250,2020-01-14 09:41:17.479109,83.26
1886,2020-01-14 10:45:11.291616,38.82
2530,2020-01-14 13:01:23.419766,76.66
1655,2020-01-14 17:30:07.556951,370.28
2301,2020-01-14 22:00:23.913970,219.6
